ImgName,Dice Coefficient,Sensitivity,Specificity,Diameters
IMD170.bmp,0.48705213225587857,0.3856718806703453,0.27041313352929713,156
IMD171.bmp,0.49257117823799507,0.9596289795326817,0.15894235775774346,120
IMD173.bmp,0.6105848750456718,0.657864883169658,0.0917734381350792,107
IMD175.bmp,0.2573927482826077,0.22324925274486787,0.07645121048487226,49
IMD176.bmp,0.40057867225090715,0.34614268941225224,0.09355340593925456,78
IMD177.bmp,0.3449268191051617,0.4017685155693073,0.08166741874244031,57
IMD182.bmp,0.03574780122651186,0.02440950748826466,0.07477468652037618,26
IMD196.bmp,0.14930594666224947,0.2498669387030959,0.11959540467120938,59
IMD197.bmp,0.5501516459771512,0.5506844793440117,0.07984298826407972,89
IMD198.bmp,0.008165975699492095,0.008459607697313378,0.07433119082211612,29
IMD199.bmp,0.18778347621480795,0.20623242022418978,0.09702969759340066,51
IMD200.bmp,0.32908447085001724,0.4115810589365429,0.10434396827372032,68
IMD203.bmp,0.27591469668748103,0.35799761519461715,0.07428938255438647,45
IMD204.bmp,0.18316981895418227,0.38630546075085326,0.06333341284797596,33
IMD206.bmp,0.4392800085206092,0.7447633264313575,0.0862300342054547,65
IMD207.bmp,0.2630363220443006,0.26215578984830284,0.09444441252018411,56
IMD208.bmp,0.5130920802422481,0.4818656129341447,0.06633699921920867,76
IMD210.bmp,0.6767863977920586,0.6221641943070911,0.06282030146863823,119
IMD211.bmp,0.6323620084175535,0.904978937918652,0.20076859695651053,181
IMD219.bmp,0.8039299672555028,0.8284510439874923,0.279361379792565,292
IMD226.bmp,0.45994803736654194,0.5642026940777318,0.16472085482957552,120
IMD240.bmp,0.7677328054274882,0.7104959434734752,1.0,322
IMD242.bmp,0.6142726942820022,0.8552485420716468,0.19380722876060924,171
IMD243.bmp,0.7067571508098508,0.7597999401530372,0.0912753422283833,134
IMD251.bmp,0.3626786582209454,0.9224321608040201,0.20236004884632688,124
IMD254.bmp,0.6182351958793696,0.4622198856542025,0.00878016436635201,72
IMD256.bmp,0.5134202430059347,0.8756066411238825,0.2092062709381753,154
IMD278.bmp,0.235743108194743,0.32300601450922845,0.08745188960050196,50
IMD279.bmp,0.3494914108355613,0.59020613206568,0.10974387996237353,72
IMD280.bmp,0.08456437137637995,0.09074251624587196,0.06293788038575404,29
IMD284.bmp,0.18027214601890815,0.10821528109467099,0.29338601843978723,59
IMD285.bmp,0.5688825362084176,0.5143416761739377,0.1201166878476291,131
IMD304.bmp,0.26202147768107514,0.37965178396761623,0.1348807610756236,76
IMD305.bmp,0.3061513607555611,0.4307193808569164,0.16728980922250983,96
IMD306.bmp,0.31819974056698114,0.7991159840417899,0.13845106987270991,84
IMD312.bmp,0.5096328104258291,0.5545785705313403,0.06859272807892695,69
IMD328.bmp,0.3189472883547577,0.8574349746442009,0.1038590494673802,63
IMD331.bmp,0.47172001765165145,0.7892811704834606,0.08682092376915652,69
IMD339.bmp,0.4215490475790887,0.5548895434462445,0.09866918357715904,74
IMD347.bmp,0.7600898723511984,0.8089664840924687,0.18707772975690046,230
IMD348.bmp,0.8794101737575343,0.9685409378144006,0.3456227400382231,358
IMD349.bmp,0.7244395794431209,0.740987456390918,0.23166816415527336,238
IMD356.bmp,0.25934440288729543,0.24488533477297522,0.08139068495956352,50
IMD360.bmp,0.4380951034516884,0.4942816582393569,0.06324965520162433,55
IMD364.bmp,0.22452522558798096,0.3219803104884513,0.10534014395170653,58
IMD365.bmp,0.19933797045656707,0.23381110388944001,0.08510565887576443,46
IMD367.bmp,0.029973061677395205,0.0240751677852349,0.07807385014035845,29
IMD368.bmp,0.06908295205888204,0.05657942755852145,0.061323633724286966,27
IMD369.bmp,0.613999199150403,0.6259262217252793,0.07110939954643536,94
IMD370.bmp,0.4139967930933542,0.3665467486750996,0.08394736419286943,74
IMD371.bmp,0.8463995185924349,0.7502177551160218,0.009813668306544863,155
IMD372.bmp,0.2837360604040866,0.4112524151454855,0.1397278307176406,80
IMD374.bmp,0.27127170917362964,0.4709262587651571,0.09857661985249921,58
IMD375.bmp,0.11507457373971426,0.1534252693875272,0.10512079893048405,49
IMD376.bmp,0.5078881151007026,0.7418862859931674,0.10315512614636071,87
IMD378.bmp,0.19357869026992047,0.12500393178907637,0.0850232899658108,46
IMD379.bmp,0.5492538641165351,0.6487381007417993,0.09833872032808536,96
IMD380.bmp,0.41318978001743084,0.4628156194950088,0.0711143340584965,58
IMD381.bmp,0.04688103680156498,0.031376425457259195,0.08155249363903062,28
IMD382.bmp,0.41608723059229996,0.3771371249127704,0.07664282864246033,68
IMD383.bmp,0.09043049503933435,0.11860334568317055,0.08502770297537315,38
IMD384.bmp,0.4699596612614538,0.6537346711259755,0.07853503349455551,66
IMD385.bmp,0.29300020648358455,0.2285438183245757,0.0482691698816797,39
IMD386.bmp,0.47833303723255755,0.8757481134530315,0.12425513645486334,95
IMD388.bmp,0.4635374390459741,0.4224766100412731,0.13805855634667322,112
IMD389.bmp,0.6071021697784746,0.5360430634617235,0.13646634651198594,156
IMD390.bmp,0.013902782006117803,0.011815437688658904,0.07770154612633424,29
IMD392.bmp,0.06434985541068439,0.05150904778922062,0.044633242541331476,20
IMD393.bmp,0.3193546816616156,0.22547574751116056,0.10453948033565869,74
IMD394.bmp,0.5276870530472836,0.5348399450436514,0.0653768681055018,72
IMD395.bmp,0.6590298071303331,0.678757577474364,0.09009364944905196,123
IMD396.bmp,0.5237714440907102,0.7968506105959049,0.15361624806833427,124
IMD397.bmp,0.4186967410394848,0.33336354513967564,0.06981085985482971,72
IMD398.bmp,0.2998411949010687,0.18896288905184955,0.10977625515961327,75
IMD399.bmp,0.4830048307972688,0.9274688398849472,0.22318609561363031,158
IMD400.bmp,0.47779012377580815,0.365458354745622,0.06967554860904508,91
IMD402.bmp,0.6489279120050172,0.6836575336136396,0.06883206634416034,97
IMD403.bmp,0.6818170032927999,0.6542762953287304,0.35647989287358245,253
IMD404.bmp,0.6658204131137422,0.7470393710004682,0.21585078029330385,204
IMD405.bmp,0.603619176079207,0.7331121542930301,0.06861590079916609,79
IMD406.bmp,0.58809669761939,0.5552755560425112,0.15166421578196235,152
IMD407.bmp,0.6117898323936413,0.624612671164614,0.12566343995663767,138
IMD408.bmp,0.43738530557977157,0.2833096975478947,0.04432747438669048,113
IMD409.bmp,0.7647759325643589,0.6537912296001862,0.05256631161236425,197
